Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
爱,29233,愛,24859,ài,1,394,108167,70.67247462
八,20843,八,20843,bā,1,451,92700,73.61800673
爸,29240,爸,29240,bà/ba,1,1050,28526,89.91078831
杯,26479,杯,26479,bēi,1,1396,16068,93.75266099
子,23376,子,23376,zi/zǐ,1,37,640640,26.4953475
北,21271,北,21271,běi/bèi,1,315,136939,65.7238983
京,20140,京,20140,jīng,1,566,71245,78.42188528
本,26412,本,26412,běn,1,92,388118,40.22935844
不,19981,不,19981,bù,1,4,2237915,8.179060654
客,23458,客,23458,kè/qià,1,583,69108,79.03595676
气,27668,氣,27683,qì/qi/xì,1,217,190687,57.48386837
菜,33756,菜,33756,cài,1,1266,19516,92.55381353
茶,33590,茶,33590,chá,1,1272,19404,92.61417455
吃,21507,吃,21507,chī,1,475,85976,74.72103137
出,20986,出,20986,chū,1,28,755256,23.28385863
租,31199,租,31199,zū/jū,1,1397,16052,93.76095643
车,36710,車,36554,chē/jū,1,361,118824,68.73689775
打,25171,打,25171,dǎ/da/dá,1,223,186146,58.06770121
电,30005,電,38651,diàn,1,230,183834,58.73558191
话,35805,話,35441,huà/hua,1,170,240067,52.42982035
大,22823,大,22823,dà,1,17,1054064,18.15438065
的,30340,的,30340,de,1,1,7922684,4.094325318
点,28857,點,40670,diǎn,1,128,300800,46.53750187
脑,33041,腦,33126,nǎo/nào,1,646,61647,81.17038273
视,35270,視,35222,shì/shi,1,438,96326,72.98318529
影,24433,影,24433,yǐng,1,390,108862,70.44841105
东,19996,東,26481,dōng,1,194,206238,55.1478776
西,35199,西,35199,xi/xī,1,167,243619,52.05694282
都,37117,都,37117,dōu,1,68,439568,35.10556509
读,35835,讀,35712,dú,1,752,48304,84.14419694
对,23545,對,23565,duì,1,33,703632,25.1324466
起,36215,起,36215,qǐ,1,75,424933,36.65899175
多,22810,多,22810,duō,1,61,481689,33.42329615
少,23569,少,23569,shǎo/shao/shào,1,233,183018,59.01957602
儿,20799,兒,20818,r/ér/ní,1,192,207827,54.93402313
二,20108,二,20108,èr,1,157,267506,50.74862993
饭,39277,飯,39151,fàn,1,935,35076,88.02874987
店,24215,店,24215,diàn,1,1041,28926,89.7770469
飞,39134,飛,39131,fēi,1,347,122290,67.86624916
机,26426,機,27231,jī,1,111,339823,43.77561349
分,20998,分,20998,fēn/fèn/fen/fén/bàn,1,79,419382,37.53050854
钟,38047,鐘,37912,zhōng,1,905,36770,87.47156868
高,39640,高,39640,gāo/gào,1,134,293542,47.45342704
兴,20852,興,33288,xìng/xīng/xìn,1,531,76760,77.07813282
个,20010,個,20491,ge,1,12,1199580,15.32368904
工,24037,工,24037,gōng,1,118,317532,44.95045472
作,20316,作,20316,zuò/zuō/zuó,1,49,542791,30.24008731
狗,29399,狗,29399,gǒu,1,1281,19093,92.7037267
汉,27721,漢,28450,hàn/tān,1,711,52656,83.07469202
语,35821,語,35486,yǔ/yù,1,493,82805,75.5068657
好,22909,好,22909,hǎo,1,82,411866,38.17126371
号,21495,號,34399,hào,1,487,84335,75.24853412
喝,21917,喝,21917,hē,1,983,32112,88.86266434
和,21644,和,21644,hé,1,19,1010465,19.2135323
很,24456,很,24456,hěn,1,138,284252,48.05130351
后,21518,后,21518,hòu,1,48,570764,29.95958099
后,21518,後,24460,hòu,4,48,570764,29.95958099
面,38754,面,38754,miàn/mian,1,74,425180,36.4393927
回,22238,回,22238,huí,1,172,239243,52.67711237
会,20250,會,26371,huì,1,29,734888,23.66363783
几,20960,幾,24190,jǐ,1,211,192355,56.89069981
家,23478,家,23478,jiā,1,56,509790,32.14374908
叫,21483,叫,21483,jiào,1,387,110131,70.27912103
今,20170,今,20170,jīn,1,336,126624,67.1578153
天,22825,天,22825,tiān/tian,1,78,419884,37.31377816
九,20061,九,20061,jiǔ,1,445,94580,73.32802257
开,24320,開,38283,kāi,1,94,377012,40.62131051
看,30475,看,30475,kàn,1,76,424616,36.87842699
见,35265,見,35211,jiàn/xiàn/jian,1,153,269080,50.19407142
块,22359,塊,22602,kuài,1,793,44475,85.12941783
来,26469,來,20358,lái,1,15,1079469,17.05691558
老,32769,老,32769,lǎo,1,179,223050,53.50756076
师,24072,師,24107,shī,1,333,128086,66.96033309
了,20102,了,20102,le,1,5,2128528,9.279052283
冷,20919,冷,20919,lěng,1,700,53460,82.77341869
里,37324,裡,35041,lǐ,1,50,537795,30.51801178
里,37324,裏,35023,lǐ,4,50,537795,30.51801178
六,20845,六,20845,liù,1,478,85830,74.85422757
妈,22920,媽,23229,mā/ma,1,750,48622,84.0941184
吗,21527,嗎,21966,ma,1,453,91639,73.71293551
买,20080,買,36023,mǎi,1,758,47788,84.29317938
猫,29483,貓,35987,māo,1,1673,10724,95.6430574
没,27809,沒,27794,méi/mò,1,72,428146,35.99908194
关,20851,關,38364,guān/wān/wǎn,1,127,302473,46.3820529
系,31995,系,31995,xì/xi/jì,1,216,190769,57.38532416
有,26377,有,26377,yǒu/yòu/wěi,1,8,1782004,12.20363445
米,31859,米,31859,mǐ,1,575,69668,78.74885626
名,21517,名,21517,míng/mìng,1,203,198481,56.08701262
字,23383,字,23383,zì/zi,1,393,108218,70.61657552
明,26126,明,26126,míng/ming/mèng,1,121,309873,45.43573974
哪,21738,哪,21738,nǎ,1,652,60708,81.3596651
那,37027,那,37027,nà,1,38,638538,26.82533445
呢,21602,呢,21602,ne,1,383,112185,70.05067771
能,33021,能,33021,néng,1,35,665358,25.82875721
你,20320,你,20320,nǐ,1,32,705205,24.76882005
年,24180,年,24180,nián,1,45,601887,29.0636859
女,22899,女,22899,nǚ/nǜ/rǔ,1,224,185188,58.16340361
朋,26379,朋,26379,péng,1,882,38271,87.02511593
友,21451,友,21451,you/yǒu,1,594,68196,79.42611714
漂,28418,漂,28418,piào/piāo/piǎo/biāo,1,1568,12488,95.01586629
亮,20142,亮,20142,liàng/liang/liáng,1,840,41016,86.16528262
苹,33529,蘋,34315,píng/pín,1,2478,3805,98.43516118
果,26524,果,26524,guǒ/luǒ/guàn,1,165,246831,51.80513048
七,19971,七,19971,qī,1,530,76766,77.03846439
前,21069,前,21069,qián/qiǎn/jiǎn,1,93,381431,40.42647631
钱,38065,錢,37666,qián,1,603,67304,79.74126977
请,35831,請,35531,qǐng,1,421,100226,72.12114117
去,21435,去,21435,qù,1,64,476270,34.165181
热,28909,熱,29105,rè,1,606,67051,79.84536941
人,20154,人,20154,rén,1,7,1867999,11.28272127
认,35748,認,35469,rèn,1,213,191866,57.08904298
识,35782,識,35672,shi/shí/zhì,1,340,125220,67.4179577
三,19977,三,19977,sān,1,125,304272,46.06918808
商,21830,商,21830,shāng,1,402,105406,71.11356571
上,19978,上,19978,shàng,1,16,1069575,17.60965604
午,21320,午,21320,wǔ/wu,1,1004,30985,89.20532131
谁,35841,誰,35504,shéi,1,648,61528,81.23397934
什,20160,什,20160,shén/shen/shí,1,156,267869,50.61038681
么,20040,麼,40636,me,1,63,477969,33.91905175
十,21313,十,21313,shí,1,112,338954,43.95077987
时,26102,時,26178,shí,1,25,833532,22.07593798
候,20505,候,20505,hou/hòu,1,341,124865,67.48248607
是,26159,是,26159,shì,1,3,2615490,7.022539449
书,20070,書,26360,shū,1,282,151357,63.2766964
水,27700,水,27700,shuǐ,1,202,198933,55.98444059
睡,30561,睡,30561,shuì,1,964,33420,88.54175628
觉,35273,覺,35258,jué/jiào,1,327,132041,66.55923548
说,35828,說,35498,shuō,1,24,874977,21.64518103
四,22235,四,22235,sì,1,226,184874,58.35461153
岁,23681,歲,27506,suì,1,772,46835,84.63563583
他,20182,他,20182,tā,1,10,1595761,13.9016917
她,22905,她,22905,tā,1,91,388612,40.02878483
太,22826,太,22826,tài,1,240,180490,59.67560374
听,21548,聽,32893,tīng,1,285,148988,63.50818772
