Simplified,Traditional,Pinyin,HSK Grade
爱,愛,ài,1
八,八,bā,1
爸爸,爸爸,bàba,1
爸,爸,bà/ba,1
杯子,杯子,bēizi,1
杯,杯,bēi,1
子,子,zi/zǐ,1
北京,北京,běijīng,1
北,北,běi/bèi,1
京,京,jīng,1
本,本,běn,1
不,不,bù,1
不客气,不客氣,bú kèqi,1
客,客,kè/qià,1
气,氣,qì/qi/xì,1
菜,菜,cài,1
茶,茶,chá,1
吃,吃,chī,1
出租车,出租車,chūzūchē,1
出,出,chū,1
租,租,zū/jū,1
车,車,chē/jū,1
打电话,打電話,dǎ diànhuà,1
打,打,dǎ/da/dá,1
电,電,diàn,1
话,話,huà/hua,1
大,大,dà,1
的,的,de,1
点,點,diǎn,1
电脑,電腦,diànnǎo,1
脑,腦,nǎo/nào,1
电视,電視,diànshì,1
视,視,shì/shi,1
电影,電影,diànyǐng,1
影,影,yǐng,1
东西,東西,dōngxi,1
东,東,dōng,1
西,西,xi/xī,1
都,都,dōu,1
读,讀,dú,1
对不起,對不起,duìbuqǐ,1
对,對,duì,1
起,起,qǐ,1
多,多,duō,1
多少,多少,duōshao,1
少,少,shǎo/shao/shào,1
儿子,兒子,érzi,1
儿,兒,r/ér/ní,1
二,二,èr,1
饭店,飯店,fàndiàn,1
饭,飯,fàn,1
店,店,diàn,1
飞机,飛機,fēijī,1
飞,飛,fēi,1
机,機,jī,1
分钟,分鐘,fēnzhōng,1
分,分,fēn/fèn/fen/fén/bàn,1
钟,鐘,zhōng,1
高兴,高興,gāoxìng,1
高,高,gāo/gào,1
兴,興,xìng/xīng/xìn,1
个,個,ge,1
工作,工作,gōngzuò,1
工,工,gōng,1
作,作,zuò/zuō/zuó,1
狗,狗,gǒu,1
汉语,漢語,hànyǔ,1
汉,漢,hàn/tān,1
语,語,yǔ/yù,1
好,好,hǎo,1
号,號,hào,1
喝,喝,hē,1
和,和,hé,1
很,很,hěn,1
后面,后面,hòumian,1
后,后,hòu,1
面,面,miàn/mian,1
回,回,huí,1
会,會,huì,1
几,幾,jǐ,1
家,家,jiā,1
叫,叫,jiào,1
