Simplified,Unicode (Simp.),JD Rank,JD Frequency,JD Percentile
的,30340,1,7922684,4.094325318
一,19968,2,3050722,5.670893097
是,26159,3,2615490,7.022539449
不,19981,4,2237915,8.179060654
了,20102,5,2128528,9.279052283
在,22312,6,2009181,10.31736716
人,20154,7,1867999,11.28272127
有,26377,8,1782004,12.20363445
我,25105,9,1690048,13.07702613
他,20182,10,1595761,13.9016917
这,36825,11,1552042,14.70376393
个,20010,12,1199580,15.32368904
们,20204,13,1169853,15.92825168
中,20013,14,1104541,16.49906205
来,26469,15,1079469,17.05691558
上,19978,16,1069575,17.60965604
大,22823,17,1054064,18.15438065
为,20026,18,1039036,18.69133901
和,21644,19,1010465,19.2135323
国,22269,20,985350,19.72274653
地,22320,21,969349,20.22369169
到,21040,22,965035,20.72240743
以,20197,23,910627,21.19300593
说,35828,24,874977,21.64518103
时,26102,25,833532,22.07593798
要,35201,26,811011,22.49505641
就,23601,27,771108,22.89355356
出,20986,28,755256,23.28385863
会,20250,29,734888,23.66363783
可,21487,30,723108,24.03732929
也,20063,31,710259,24.40438059
你,20320,32,705205,24.76882005
对,23545,33,703632,25.1324466
生,29983,34,682031,25.48491009
能,33021,35,665358,25.82875721
而,32780,36,649239,26.16427427
子,23376,37,640640,26.4953475
那,37027,38,638538,26.82533445
得,24471,39,630688,27.15126463
于,20110,40,630524,27.47711006
着,30528,41,626326,27.80078603
下,19979,42,621185,28.1218052
自,33258,43,611687,28.43791595
之,20043,44,609003,28.75263965
年,24180,45,601887,29.0636859
过,36807,46,589925,29.36855037
发,21457,47,572904,29.66461864
后,21518,48,570764,29.95958099
作,20316,49,542791,30.24008731
里,37324,50,537795,30.51801178
用,29992,51,535480,30.79473988
道,36947,52,534695,31.07106231
行,34892,53,531848,31.34591345
所,25152,54,523028,31.61620654
然,28982,55,511026,31.88029718
家,23478,56,509790,32.14374908
种,31181,57,503344,32.40386977
事,20107,58,499172,32.66183444
成,25104,59,499007,32.91971384
方,26041,60,492763,33.17436644
多,22810,61,481689,33.42329615
经,32463,62,481338,33.67204447
么,20040,63,477969,33.91905175
去,21435,64,476270,34.165181
法,27861,65,466816,34.40642457
学,23398,66,464261,34.64634776
如,22914,67,449036,34.87840289
都,37117,68,439568,35.10556509
同,21516,69,437611,35.33171595
现,29616,70,433960,35.55598003
当,24403,71,429274,35.77782245
没,27809,72,428146,35.99908194
动,21160,73,426839,36.21966599
面,38754,74,425180,36.4393927
起,36215,75,424933,36.65899175
看,30475,76,424616,36.87842699
定,23450,77,422538,37.09678835
天,22825,78,419884,37.31377816
分,20998,79,419382,37.53050854
还,36824,80,415855,37.74541622
进,36827,81,412166,37.95841748
好,22909,82,411866,38.17126371
小,23567,83,410987,38.38365568
部,37096,84,403066,38.5919542
其,20854,85,403028,38.80023308
些,20123,86,400528,39.00721999
主,20027,87,399693,39.2137754
样,26679,88,398149,39.41953288
理,29702,89,398087,39.62525832
心,24515,90,392228,39.82795592
她,22905,91,388612,40.02878483
本,26412,92,388118,40.22935844
前,21069,93,381431,40.42647631
开,24320,94,377012,40.62131051
但,20294,95,374459,40.81482535
因,22240,96,371612,41.00686891
只,21482,97,370059,41.1981099
从,20174,98,369958,41.3892987
想,24819,99,368819,41.57989887
实,23454,100,368494,41.77033109
日,26085,101,363763,41.95831841
军,20891,102,362526,42.14566645
者,32773,103,360974,42.33221245
意,24847,104,360232,42.51837499
无,26080,105,359265,42.7040378
力,21147,106,359136,42.88963395
它,23427,107,346173,43.06853101
与,19982,108,345532,43.24709681
长,38271,109,342148,43.42391381
把,25226,110,340730,43.59999801
机,26426,111,339823,43.77561349
十,21313,112,338954,43.95077987
民,27665,113,335796,44.12431426
第,31532,114,325780,44.29267252
公,20844,115,318626,44.4573337
此,27492,116,318534,44.62194733
已,24050,117,318143,44.78635891
工,24037,118,317532,44.95045472
使,20351,119,316273,45.11389991
情,24773,120,312900,45.27560198
明,26126,121,309873,45.43573974
性,24615,122,309844,45.59586251
知,30693,123,306384,45.75419721
全,20840,124,305248,45.91194484
三,19977,125,304272,46.06918808
又,21448,126,302933,46.22573935
关,20851,127,302473,46.3820529
点,28857,128,300800,46.53750187
正,27491,129,296810,46.69088887
业,19994,130,296169,46.8439446
外,22806,131,295645,46.99672955
将,23558,132,295586,47.149484
两,20004,133,294600,47.3017289
高,39640,134,293542,47.45342704
间,38388,135,292227,47.60444561
由,30001,136,292199,47.75544971
问,38382,137,288237,47.90440631
很,24456,138,284252,48.05130351
最,26368,139,283689,48.19790977
重,37325,140,282843,48.34407883
并,24182,141,281616,48.48961379
物,29289,142,281146,48.63490587
手,25163,143,280442,48.77983412
应,24212,144,280384,48.92473241
战,25112,145,278776,49.0687997
向,21521,146,276986,49.21194195
头,22836,147,274911,49.35401186
文,25991,148,274222,49.49572572
体,20307,149,273792,49.63721735
政,25919,150,269878,49.77668629
美,32654,151,269452,49.91593508
相,30456,152,269125,50.05501488
见,35265,153,269080,50.19407142
被,34987,154,268905,50.33303753
利,21033,155,268813,50.47195609
什,20160,156,267869,50.61038681
二,20108,157,267506,50.74862993
等,31561,158,266296,50.88624775
产,20135,159,265164,51.02328056
或,25110,160,260786,51.15805089
新,26032,161,253921,51.28927349
己,24049,162,250894,51.41893178
制,21046,163,250754,51.54851772
身,36523,164,249725,51.67757188
果,26524,165,246831,51.80513048
加,21152,166,243648,51.93104414
西,35199,167,243619,52.05694282
斯,26031,168,240900,52.18143636
月,26376,169,240566,52.30575729
话,35805,170,240067,52.42982035
合,21512,171,239277,52.55347514
回,22238,172,239243,52.67711237
特,29305,173,239091,52.80067104
代,20195,174,231734,52.92042773
内,20869,175,231331,53.03997615
信,20449,176,230248,53.1589649
表,34920,177,226768,53.27615523
化,21270,178,224729,53.39229183
老,32769,179,223050,53.50756076
给,32473,180,217815,53.62012431
世,19990,181,214990,53.73122795
位,20301,182,214983,53.84232797
次,27425,183,214857,53.95336287
度,24230,184,214376,54.0641492
门,38376,185,212769,54.17410506
任,20219,186,212485,54.28391415
常,24120,187,212309,54.39363228
先,20808,188,210628,54.5024817
海,28023,189,209302,54.61064586
通,36890,190,209046,54.71867773
教,25945,191,208875,54.82662122
儿,20799,192,207827,54.93402313
原,21407,193,207579,55.04129687
东,19996,194,206238,55.1478776
声,22768,195,206083,55.25437823
提,25552,196,205159,55.36040135
立,31435,197,204985,55.46633455
及,21450,198,202671,55.57107191
比,27604,199,200645,55.67476227
员,21592,200,200217,55.77823144
解,35299,201,200090,55.88163497
水,27700,202,198933,55.98444059
名,21517,203,198481,56.08701262
真,30495,204,198416,56.18955106
论,35770,205,197165,56.291443
处,22788,206,194237,56.3918218
走,36208,207,193619,56.49188122
义,20041,208,193507,56.59188276
各,21508,209,193435,56.69184709
入,20837,210,192433,56.79129361
几,20960,211,192355,56.89069981
口,21475,212,191936,56.98988948
认,35748,213,191866,57.08904298
条,26465,214,191280,57.18789364
平,24179,215,191267,57.28673758
系,31995,216,190769,57.38532416
气,27668,217,190687,57.48386837
题,39064,218,189921,57.58201672
活,27963,219,189876,57.68014181
尔,23572,220,189785,57.77821988
更,26356,221,187378,57.87505405
别,21035,222,186634,57.97150372
打,25171,223,186146,58.06770121
女,22899,224,185188,58.16340361
变,21464,225,185121,58.2590714
四,22235,226,184874,58.35461153
神,31070,227,184554,58.44998629
总,24635,228,184470,58.54531765
何,20309,229,184335,58.64057924
电,30005,230,183834,58.73558191
数,25968,231,183312,58.83031483
安,23433,232,183210,58.92499504
少,23569,233,183018,59.01957602
报,25253,234,182411,59.11384331
才,25165,235,181725,59.20775609
结,32467,236,181674,59.30164251
反,21453,237,181385,59.39537958
受,21463,238,180928,59.48888048
目,30446,239,180827,59.58232919
太,22826,240,180490,59.67560374
量,37327,241,180008,59.7686292
再,20877,242,179607,59.86144742
感,24863,243,178383,59.95363311
建,24314,244,178289,60.04577021
务,21153,245,176085,60.13676832
做,20570,246,175580,60.22750546
接,25509,247,175473,60.31818729
必,24517,248,174963,60.40860557
场,22330,249,173632,60.49833601
件,20214,250,172895,60.58768557
计,35745,251,171949,60.67654626
管,31649,252,170746,60.76478526
期,26399,253,169806,60.85253847
市,24066,254,169522,60.94014492
直,30452,255,169439,61.02770848
德,24503,256,168917,61.11500227
资,36164,257,168890,61.20228211
命,21629,258,168358,61.28928703
山,23665,259,168142,61.37618031
金,37329,260,167912,61.46295474
指,25351,261,166865,61.54918809
克,20811,262,166044,61.63499716
许,35768,263,166034,61.72080106
统,32479,264,165820,61.80649437
区,21306,265,164775,61.89164765
保,20445,266,164424,61.97661952
至,33267,267,163582,62.06115627
队,38431,268,162938,62.14536021
形,24418,269,162049,62.22910472
社,31038,270,159527,62.3115459
