Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
爱,29233,愛,24859,ài,1,394,108167,70.67247462
八,20843,八,20843,bā,1,451,92700,73.61800673
爸,29240,爸,29240,bà/ba,1,1050,28526,89.91078831
吧,21543,吧,21543,ba/bā/pā,1,470,87536,74.49770733
白,30333,白,30333,bái/bai/bó,1,286,148728,63.58504814
百,30334,百,30334,bǎi/bó/mò,1,407,103938,71.3833074
班,29677,班,29677,bān,1,884,38130,87.0645947
半,21322,半,21322,bàn/pàn,1,513,80183,76.34880067
帮,24110,幫,24171,bāng,1,769,47065,84.56281357
包,21253,包,21253,bāo/páo/fú,1,454,91240,73.76008699
杯,26479,杯,26479,bēi,1,1396,16068,93.75266099
北,21271,北,21271,běi/bèi,1,315,136939,65.7238983
备,22791,備,20633,bèi,1,397,107114,70.83889183
本,26412,本,26412,běn/bēn,1,92,388118,40.22935844
比,27604,比,27604,bǐ/bì/pí/pǐ,1,199,200645,55.67476227
边,36793,邊,37002,biān/bian,1,316,136277,65.79432423
别,21035,別,21029,bié/biè,1,222,186634,57.97150372
别,21035,彆,24390,biè,1,222,186634,57.97150372
病,30149,病,30149,bìng,1,427,98692,72.42853893
不,19981,不,19981,bù/bu/fǒu/fōu/fū,1,4,2237915,8.179060654
菜,33756,菜,33756,cài,1,1266,19516,92.55381353
茶,33590,茶,33590,chá,1,1272,19404,92.61417455
差,24046,差,24046,chà/chā/chāi/chài/cī/cuō/jiē,1,732,50349,83.63348042
常,24120,常,24120,cháng,1,187,212309,54.39363228
场,22330,場,22580,chǎng/cháng/shāng/dàng,1,249,173632,60.49833601
唱,21809,唱,21809,chàng,1,1252,20085,92.41035398
车,36710,車,36554,chē/jū,1,361,118824,68.73689775
吃,21507,吃,21507,chī/qī,1,475,85976,74.72103137
出,20986,出,20986,chū,1,28,755256,23.28385863
穿,31359,穿,31359,chuān/chuàn/yuān,1,785,45314,84.9444563
床,24202,床,24202,chuáng,1,1068,27283,90.169277
次,27425,次,27425,cì/zī/cí,1,183,214857,53.95336287
从,20174,從,24478,cóng/cōng/zòng/zōng/zǒng,1,98,369958,41.3892987
错,38169,錯,37679,cuò/cù/xī,1,638,62401,80.91417358
答,31572,答,31572,dá/dā,1,559,72421,78.16189429
打,25171,打,25171,dǎ/da/dá,1,223,186146,58.06770121
大,22823,大,22823,dà/dài/tài,1,17,1054064,18.15438065
蛋,34507,蛋,34507,dàn,1,1387,16305,93.67762586
到,21040,到,21040,dào/dao,1,22,965035,20.72240743
道,36947,道,36947,dào/dao/dǎo,1,52,534695,31.07106231
得,24471,得,24471,de/dé/děi,1,39,630688,27.15126463
地,22320,地,22320,de/dì,1,21,969349,20.22369169
的,30340,的,30340,de/dì/dí,1,1,7922684,4.094325318
等,31561,等,31561,děng,1,158,266296,50.88624775
弟,24351,弟,24351,dì/di/tì/tuí,1,816,42706,85.64577145
第,31532,第,31532,dì,1,114,325780,44.29267252
点,28857,點,40670,diǎn/zhān/duò,1,128,300800,46.53750187
电,30005,電,38651,diàn,1,230,183834,58.73558191
店,24215,店,24215,diàn,1,1041,28926,89.7770469
东,19996,東,26481,dōng,1,194,206238,55.1478776
动,21160,動,21205,dòng,1,73,426839,36.21966599
都,37117,都,37117,dōu/dū,1,68,439568,35.10556509
读,35835,讀,35712,dú/dòu,1,752,48304,84.14419694
对,23545,對,23565,duì,1,33,703632,25.1324466
多,22810,多,22810,duō,1,61,481689,33.42329615
饿,39295,餓,39187,è,1,1911,7992,96.77995369
儿,20799,兒,20818,r/ér/ní,1,192,207827,54.93402313
二,20108,二,20108,èr,1,157,267506,50.74862993
饭,39277,飯,39151,fàn,1,935,35076,88.02874987
方,26041,方,26041,fāng/fang/fáng/fǎng/páng/wǎng/fēng,1,60,492763,33.17436644
房,25151,房,25151,fáng/páng,1,512,80320,76.30736329
放,25918,放,25918,fàng/fǎng/fāng,1,291,147600,63.96760506
飞,39134,飛,39131,fēi,1,347,122290,67.86624916
非,38750,非,38750,fēi/fěi,1,283,149915,63.35417025
分,20998,分,20998,fēn/fèn/fen/fén/bàn,1,79,419382,37.53050854
风,39118,風,39080,fēng/fèng/fěng,1,348,121803,67.92919514
服,26381,服,26381,fú/fu/fù/bì/bó,1,365,116961,68.98021208
干,24178,乾,20094,gān/qián,1,353,120564,68.24160675
干,24178,幹,24185,gàn/gān/hán/guǎn,1,353,120564,68.24160675
干,24178,干,24178,gàn/gān/àn,1,353,120564,68.24160675
高,39640,高,39640,gāo/gào,1,134,293542,47.45342704
告,21578,告,21578,gào/jū/gù,1,310,138285,65.36815013
哥,21733,哥,21733,gē/ge,1,804,43620,85.3796085
歌,27468,歌,27468,gē/ge,1,1040,28957,89.76209838
个,20010,個,20491,gè/ge/gě,1,12,1199580,15.32368904
给,32473,給,32102,gěi/jǐ/xiá,1,180,217815,53.62012431
跟,36319,跟,36319,gēn,1,541,75958,77.47257476
工,24037,工,24037,gōng,1,118,317532,44.95045472
关,20851,關,38364,guān/wān/wǎn,1,127,302473,46.3820529
馆,39302,館,39208,guǎn,1,1011,30564,89.31687765
贵,36149,貴,36020,guì,1,873,38668,86.84652068
国,22269,國,22283,guó,1,20,985350,19.72274653
果,26524,果,26524,guǒ/luǒ/guàn,1,165,246831,51.80513048
过,36807,過,36942,guò/guo/guō/huò,1,46,589925,29.36855037
还,36824,還,36996,hái/huán/xuán,1,80,415855,37.74541622
孩,23401,孩,23401,hái,1,533,76620,77.15739215
汉,27721,漢,28450,hàn/tān,1,711,52656,83.07469202
好,22909,好,22909,hǎo/hāo/hào,1,82,411866,38.17126371
号,21495,號,34399,hào/hao/háo,1,487,84335,75.24853412
喝,21917,喝,21917,hē/he/hè/yè/kài,1,983,32112,88.86266434
和,21644,和,21644,hé/huo/he/hè/huò/huó/hú,1,19,1010465,19.2135323
很,24456,很,24456,hěn,1,138,284252,48.05130351
后,21518,後,24460,hòu,1,48,570764,29.95958099
后,21518,后,21518,hòu,1,48,570764,29.95958099
候,20505,候,20505,hou/hòu,1,341,124865,67.48248607
花,33457,花,33457,huā/hua,1,410,103367,71.54394127
话,35805,話,35441,huà/hua,1,170,240067,52.42982035
坏,22351,壞,22750,huài/huì/huái,1,832,41723,85.99492596
欢,27426,歡,27489,huan/huān,1,685,55294,82.35130394
回,22238,回,22238,huí,1,172,239243,52.67711237
回,22238,迴,36852,huí,1,172,239243,52.67711237
会,20250,會,26371,huì/kuài/kuò,1,29,734888,23.66363783
火,28779,火,28779,huǒ/huō,1,433,97760,72.7328215
机,26426,機,27231,jī,1,111,339823,43.77561349
鸡,40481,雞,38622,jī,1,1391,16164,93.71109286
几,20960,幾,24190,jǐ/jī/jì/qí,1,211,192355,56.89069981
记,35760,記,35352,jì/ji,1,306,139501,65.08164756
家,23478,家,23478,jiā/jia/jià/jie/gū,1,56,509790,32.14374908
家,23478,傢,20642,xiàng/jiā,1,56,509790,32.14374908
假,20551,假,20551,jiǎ/jià/jie/xià/xiá/gé,1,636,62691,80.84958112
间,38388,間,38291,jiān/jian/jiàn/jiǎn,1,135,292227,47.60444561
见,35265,見,35211,jiàn/xiàn/jian,1,153,269080,50.19407142
教,25945,教,25945,jiào/jiāo,1,191,208875,54.82662122
叫,21483,叫,21483,jiào,1,387,110131,70.27912103
觉,35273,覺,35258,jué/jiào,1,327,132041,66.55923548
姐,22992,姐,22992,jie/jiě/jù/xù/zū,1,830,41762,85.95178887
介,20171,介,20171,jiè/gè,1,831,41749,85.97336413
今,20170,今,20170,jīn,1,336,126624,67.1578153
进,36827,進,36914,jìn,1,81,412166,37.95841748
京,20140,京,20140,jīng,1,566,71245,78.42188528
净,20928,淨,28136,jìng/chéng,1,1377,16751,93.59247827
九,20061,九,20061,jiǔ/jiū,1,445,94580,73.32802257
就,23601,就,23601,jiù,1,27,771108,22.89355356
